feature,coefficient
barthag_diff,0.5116872664225375
d_rate_diff,0.11073464881661567
relative_rating_diff,0.09346255985755075
kadj_o_diff,0.053080093469278
elite_sos_diff,0.04800862177354557
kadj_d_diff,0.04739736739235157
kadj_em_diff,0.013911807821266428
wab_rank_diff,0.012632350657581606
b_power_diff,0.011443655300289887
net_rpi_diff,0.004848213896972092
resume_diff,0.001281871405219683
talent_diff,0.0011618622695416226
elo_diff,-0.015744561784725875
exp_diff,-0.016680036538399605
o_rate_diff,-0.017272118272964015
roster_rank_diff,-0.04118786538267956
injury_rank_diff,-0.06806019965054763
