game_id,team1,team2
1,Ohio State,TCU
2,Nebraska,Troy
3,Louisville,South Florida
4,Wisconsin,High Point
5,Duke,Siena
6,Vanderbilt,McNeese
7,Michigan St.,North Dakota St.
8,Arkansas,Hawai'i
9,North Carolina,VCU
10,Michigan,Prairie View A&M/Lehigh
11,BYU,Miami (Ohio)/SMU
12,Saint Mary's,Texas A&M
13,Illinois,Penn
14,Georgia,Saint Louis
15,Gonzaga,Kennesaw State
16,Houston,Idaho
17,Kentucky,Santa Clara
18,Texas Tech,Akron
19,Arizona,Long Island University
20,Virginia,Wright State
21,Iowa St.,Tennessee State
22,Alabama,Hofstra
23,Villanova,Utah State
24,Tennessee,Texas/NC State
25,Clemson,Iowa
26,St. John's,Northern Iowa
27,UCLA,UCF
28,Purdue,Queens
29,Florida,UMBC/Howard
30,Kansas,Cal Baptist
31,Connecticut,Furman
32,Miami (Fla.),Missouri
